city_name,latitude,longitude
Lipsk,53.7335414,23.4037394
Michałowo,53.0328933,23.6066858
Suraż,52.9491665,22.9563836
Łapy,52.9908208,22.883005
Zabłudów,53.0147671,23.3379526
Czarna Białostocka,53.2982835,23.2851013
Supraśl,53.2100391,23.3360728
Tykocin,53.207646,22.7730188
Wasilków,53.198684,23.2056777
Choroszcz,53.143925,22.9884588
Brańsk,52.7454145,22.8328169
Bielsk Podlaski,52.764915,23.188210662123517
Rajgród,53.7304739,22.6976173
Grajewo,53.6469842,22.4548627
Szczuczyn,53.5629982,22.2855495
Hajnówka,52.7365783,23.5878728
Kleszczele,52.574173,23.3254851
Kolno,53.401686749999996,21.936077723604825
Stawiski,53.3798382,22.1548937
Nowogród,53.2280804,21.8797908
Jedwabne,53.2867308,22.3021413
Goniądz,53.489222,22.7323721
Mońki,53.4065738,22.7983772
Knyszyn,53.3122442,22.9200387
Sejny,54.1101732,23.347142081833674
Drohiczyn,52.396648,22.658812
Siemiatycze,52.4209252,22.875437270492178
Sokółka,53.4049183,23.4995562
Krynki,53.2644419,23.7726182
Dąbrowa Białostocka,53.654439,23.3485102
Suchowola,53.578557,23.1058224
Wysokie Mazowieckie,52.925635400000004,22.51040144868788
Szepietowo,52.8712982,22.5474331
Czyżew,52.7975512,22.3123475
Ciechanowiec,52.6787967,22.4991103
Zambrów,52.975833300000005,22.23729346971591
Białystok,53.132398,23.1591679
Łomża,53.18243065,22.052183817808846
Suwałki,54.102712499999996,22.931878217494493
Miastko,54.0001478,16.9774717
Bytów,54.1694592,17.4890263
Brusy,53.8861557,17.7190437
Chojnice,53.6999165,17.57034607003427
Czersk,53.796196,17.9756228
Debrzno,53.53861,17.2338685
Człuchów,53.6651462,17.3588324
Czarne,53.68353,16.94221
Pruszcz Gdański,54.25764755,18.650104044555775
Żukowo,54.3458469,18.3647494
Kartuzy,54.3342281,18.1973639
Kościerzyna,54.1210215,17.9781656
Kwidzyn,53.7204653,18.937464130662192
Prabuty,53.755995,19.2044449
Lębork,54.5391501,17.7472272
Łeba,54.7604388,17.531376945616415
Nowy Staw,54.1342754,19.0086861
Malbork,54.0358356,19.0368496
Nowy Dwór Gdański,54.2146299,19.1150846
Krynica Morska,54.3800071,19.4433631
Hel,54.6066432,18.8027076
Puck,54.7203995,18.411338
Władysławowo,54.7901316,18.4087342
Jastarnia,54.702764,18.6712892
Ustka,54.5734467,16.859180576172207
Kępice,54.2427792,16.8896705
Kobylnica,54.4397259,16.9968076
Czarna Woda,53.8441983,18.0984293
Skarszewy,54.0717523,18.4459951
Skórcz,53.79455,18.52432
